step,train_loss,lr,grad_norm,tok_per_sec,val_loss
285,5.132183,5.995496e-04,0.4813,75933.37,
286,5.068489,5.995388e-04,0.7064,75937.54,
287,5.094449,5.995279e-04,0.7111,75934.89,
288,5.075459,5.995168e-04,0.7212,75931.99,
289,5.032259,5.995057e-04,0.5668,75932.66,
290,5.039124,5.994944e-04,0.5879,75938.13,
291,4.992709,5.994830e-04,0.4983,75930.94,
292,4.992432,5.994714e-04,0.4250,75938.87,
293,4.948459,5.994597e-04,0.4363,75936.20,
294,4.986011,5.994479e-04,0.4737,75933.77,
295,5.041355,5.994360e-04,0.5117,75939.14,
296,4.992311,5.994239e-04,0.6667,75941.21,
297,4.994758,5.994117e-04,0.6568,75937.99,
298,4.991960,5.993994e-04,0.5968,75932.88,
299,4.994335,5.993870e-04,0.6826,75938.09,
300,4.944032,5.993744e-04,0.7569,75940.83,
301,5.061267,5.993617e-04,0.7316,75938.19,
302,4.907105,5.993489e-04,0.6845,75934.88,
303,4.912740,5.993359e-04,0.5341,75938.39,
304,4.925570,5.993229e-04,0.4847,75937.39,
305,4.859640,5.993097e-04,0.5939,75937.72,
306,4.883231,5.992963e-04,0.6524,75935.70,
307,4.877132,5.992829e-04,0.5813,75939.03,
308,4.862749,5.992693e-04,0.4394,75935.50,
309,4.889309,5.992556e-04,0.3911,75941.66,
310,4.834776,5.992417e-04,0.4229,75933.93,
311,4.831719,5.992277e-04,0.3845,75939.27,
312,4.839241,5.992136e-04,0.4305,75935.62,
313,4.834612,5.991994e-04,0.5166,75935.26,
314,4.788422,5.991851e-04,0.7110,75938.88,
315,4.815382,5.991706e-04,0.7361,75942.69,
316,4.749470,5.991560e-04,0.6192,75936.44,
317,4.832493,5.991412e-04,0.5745,75940.26,
318,4.773845,5.991264e-04,0.5262,75929.56,
319,4.812200,5.991114e-04,0.4533,75935.84,
320,4.779669,5.990963e-04,0.4531,75934.45,
321,4.712397,5.990810e-04,0.5460,75937.39,
322,4.757930,5.990657e-04,0.5321,75926.17,
323,4.734235,5.990502e-04,0.4885,75939.81,
324,4.729875,5.990345e-04,0.4464,75939.26,
325,4.889531,5.990188e-04,0.5023,75938.11,
326,4.962152,5.990029e-04,0.6297,75940.90,
327,4.904868,5.989869e-04,0.5239,75927.29,
328,4.925327,5.989708e-04,0.5116,75932.97,
329,4.924967,5.989545e-04,0.5879,75935.60,
330,4.887382,5.989381e-04,0.5871,75938.80,
331,4.939174,5.989216e-04,0.6075,75938.70,
332,4.886229,5.989050e-04,0.5029,75938.46,
333,4.939866,5.988882e-04,0.5511,75939.23,
334,4.878675,5.988713e-04,0.6454,75938.16,
335,4.909977,5.988543e-04,0.7221,75935.15,
336,4.925745,5.988371e-04,0.6725,75941.85,
337,4.828567,5.988198e-04,0.7558,75936.40,
338,4.837762,5.988024e-04,0.5724,75935.23,
339,4.911445,5.987849e-04,0.5062,75938.92,
340,4.849037,5.987672e-04,0.5560,75940.74,
341,4.862234,5.987494e-04,0.5258,75936.88,
342,4.828169,5.987315e-04,0.5542,75935.70,
343,4.903068,5.987135e-04,0.5012,75937.90,
344,4.788734,5.986953e-04,0.4922,75922.58,
345,4.802681,5.986770e-04,0.4508,75930.37,
346,4.770051,5.986586e-04,0.3914,75939.68,
347,4.752179,5.986401e-04,0.4041,75943.06,
348,4.788950,5.986214e-04,0.4293,75936.22,
349,4.725927,5.986026e-04,0.4239,75939.96,
350,4.750056,5.985836e-04,0.3702,75940.84,
351,4.747233,5.985646e-04,0.3966,75931.35,
352,4.759850,5.985454e-04,0.4582,75929.26,
353,4.723627,5.985261e-04,0.5721,75933.71,
354,4.722479,5.985066e-04,0.7008,75935.93,
355,4.769977,5.984871e-04,0.6202,75940.58,
356,4.746715,5.984674e-04,0.5705,75938.75,
357,4.680703,5.984476e-04,0.5718,75937.34,
358,4.700784,5.984276e-04,0.5849,75942.04,
359,4.688238,5.984075e-04,0.4832,75937.98,
360,4.630068,5.983873e-04,0.4673,75939.63,
361,4.646613,5.983670e-04,0.4399,75932.13,
362,4.645945,5.983466e-04,0.3876,75935.41,
363,4.690322,5.983260e-04,0.4120,75939.56,
364,4.616120,5.983053e-04,0.3553,75940.26,
365,4.629459,5.982844e-04,0.3949,75939.72,
366,4.600421,5.982635e-04,0.4225,75936.74,
367,4.573032,5.982424e-04,0.4651,75938.60,
368,4.628589,5.982212e-04,0.5339,75939.34,
369,4.643858,5.981998e-04,0.5573,75935.07,
370,4.566442,5.981783e-04,0.5104,75937.24,
371,4.640109,5.981567e-04,0.5985,75940.27,
372,4.762350,5.981350e-04,0.5125,75939.21,
373,4.853712,5.981132e-04,0.5874,75938.17,
374,4.732433,5.980912e-04,0.5492,75930.33,
375,4.728849,5.980691e-04,0.5348,75931.33,
376,4.768816,5.980469e-04,0.4791,75938.05,
377,4.791758,5.980245e-04,0.5988,75941.94,
378,4.794892,5.980020e-04,0.5504,75936.75,
379,4.801988,5.979794e-04,0.5504,75931.26,
380,4.705246,5.979567e-04,0.4844,75942.14,
381,4.744381,5.979338e-04,0.5812,75930.47,
382,4.762658,5.979108e-04,0.5954,74411.03,
383,4.706137,5.978877e-04,0.6194,75948.49,
384,4.715608,5.978644e-04,0.5838,75945.92,
385,4.695042,5.978411e-04,0.5052,75938.24,
386,4.779966,5.978176e-04,0.5764,75951.01,
387,4.796003,5.977940e-04,0.4992,75940.22,
388,4.747289,5.977702e-04,0.4817,75944.64,
389,4.657091,5.977463e-04,0.4288,75940.43,
390,4.720928,5.977223e-04,0.3967,75945.05,
391,4.680250,5.976982e-04,0.3588,75941.49,
392,4.681960,5.976739e-04,0.3919,75940.60,
393,4.646124,5.976495e-04,0.4385,75944.86,
394,4.661642,5.976250e-04,0.5377,75942.51,
395,4.605033,5.976004e-04,0.5546,75944.34,
396,4.558908,5.975756e-04,0.4816,75939.82,
397,4.608116,5.975507e-04,0.4255,75946.94,
398,4.602782,5.975257e-04,0.4672,75942.58,
399,4.592272,5.975006e-04,0.4659,75935.72,
400,4.610231,5.974753e-04,0.5382,75945.02,
401,4.587667,5.974499e-04,0.4090,75942.14,
